Province / Territory,Data Provider,Link to Dataset,Link to Data Licence,Licence Title,Licence Version,Attribution statement (in language of origin),Date Downloaded
AB,City of Airdrie,https://data-airdrie.opendata.arcgis.com/datasets/airdrie-address-points,https://data-airdrie.opendata.arcgis.com/pages/our-open-licence,Open Data Licence - City of Airdrie,1,Contains information licensed under the Open Data Licence – City of Airdrie.,2021-01-15
AB,Banff,http://www.banffopendata.ca/DataBrowser/BanffData/AddressPoints,http://www.banffopendata.ca/Home/About ,Open Government Licence - Banff,2,Contains information licensed under the Open Government Licence - Banff'.,2021-01-15
AB,City of Calgary,https://data.calgary.ca/,https://data.calgary.ca/stories/s/u45n-7awa,Open Government Licence - City of Calgary,2.1,Contains information licensed under the Open Government Licence – City of Calgary,2021-01-15
AB,Town of Canmore,https://services.arcgis.com/USaXRc3mZF0nhsUu/arcgis/rest/services/Canmore_Addresses/FeatureServer/0,https://s3.amazonaws.com/canmoregis/OpenData/Town+of+Canmore+Open+Data+Licence.pdf,Town of Canmore Open Data Licence,1,Contains information licensed under the Town of Canmore Open Data Licence.,2021-01-15
AB,City of Chestermere,http://data-chestermere.opendata.arcgis.com/datasets/address-points?showData=true,https://www.chestermere.ca/DocumentCenter/View/13563/OPEN-DATA-LICENCE,OPEN DATA LICENCE - City of Chestermere,,Contains information licensed under the Open Data License – City of Chestermere,2021-01-15
AB,Town of Cochrane,https://data-cochranegis.opendata.arcgis.com/datasets/cochrane-addresses,https://www.cochrane.ca/947/Open-Data-Licence,Open Data Licence – Town of Cochrane,1,Contains information licensed under the Open Data Licence – Town of Cochrane.,2021-01-15
AB,City of Edmonton,https://data.edmonton.ca/dataset/Parcel-Addresses/ut27-nrpn,https://data.edmonton.ca/stories/s/City-of-Edmonton-Open-Data-Terms-of-Use/msh8-if28/,City of Edmonton Open Data Terms of Use,2.4,Contains information sourced from the City of Edmonton's open data portal. ,2021-01-15
AB,County of Grande Prairie,http://opendata.countygp.ab.ca/datasets/site-addresses-od?geometry=-122.481%2C54.697%2C-115.664%2C55.793,http://www.countygp.ab.ca/EN/main/community/maps-gis/open-data/open-data-licence.html,Open Government Licence – County of Grande Prairie,1,Contains information licensed under the Open Government Licence – County of Grande Prairie.,2021-01-19
AB,City of Lethbridge,https://opendata.lethbridge.ca/datasets/16e189882ac94a5091618ee0e0f74ce7_0,https://www.lethbridge.ca/Pages/OpenDataLicense.aspx,City of Lethbridge? - Open Data License,1,Contains information sourced from the open data portal of the City of Lethbridge.,2021-01-15
AB,Parkland County,http://opendata.parklandcounty.com/datasets/1f00ade410af45a09a539dd05f3c8558_49,https://www.parklandcounty.com/en/live-and-play/open-data-license.aspx,Open Government License – Parkland County,1,Contains information licensed under the Open Government License – Parkland County.,2021-01-15
AB,The City of Red Deer,https://data.reddeer.ca/parceladdresses,https://data.reddeer.ca/About,Open Government Licence – The City of Red Deer,1,Contains information licensed under the Open Government Licence – The City of Red Deer,2021-01-15
AB,City of St. Albert,https://data.stalbert.ca/datasets/af8e7fce8a6245a6b2bddf6b05828c4a_0/data?page=2,https://data.stalbert.ca/pages/licence,Open Data Licence - City of St. Albert,1,Contains information licensed under the Open Data Licence – City of St. Albert,2021-01-15
AB,Strathcona County,https://data.strathcona.ca/Housing-Buildings/Civic-Address/guuy-s4yx,https://data.strathcona.ca/stories/s/bxnd-tfzb,"Open Government License, Strathcona County",1,Contains information licensed under the Open Government Licence – Strathcona County,2021-01-15
AB,Alberta Municipal Data Sharing Partnership,https://amos.amdsp.ca/AMDSP/disclaim.aspx,https://amos.amdsp.ca/AMDSP/disclaim.aspx,Alberta Municipal Data Sharing Partnership (AMDSP) Open Data Licence Version 1.1,1.1,Contains information sourced from the open data portal of the Alberta Municipal Data Sharing Partnership (AMDSP).,2021-01-11
BC,City of Abbotsford,https://opendata-abbotsford.hub.arcgis.com/datasets/address-points,https://opendata-abbotsford.hub.arcgis.com/pages/city-of-abbotsford-open-data-licence,City of Abbotsford Open Data Licence,2,Contains information licenced under the Open Government Licence – City of Abbotsford,2021-01-15
BC,Burnaby,https://gis.burnaby.ca/arcgis/rest/services/OpenData/OpenData4/MapServer/7,https://www.burnaby.ca/opendata/licence.html,Open Government Licence – Burnaby,1,Contains information licensed under the Open Government Licence – Burnaby,2021-01-15
BC,Columbia-Shuswap,https://www.csrd.bc.ca/services/maps,http://web.csrd.bc.ca/data/disclaimer-cadastralshp.html,Disclaimer and User Agreement,,,2021-01-15
BC,Coquitlam,https://coquitlam.maps.arcgis.com/apps/Cascade/index.html?appid=26ed37ee4167495dbb92e2798aa2b968,https://www.coquitlam.ca/894/Open-Government-Licence,The Open Government Licence – Coquitlam,1,Contains information licensed under the Open Government Licence – Coquitlam.,2021-01-15
BC,City of Courtenay,http://data-courtenay.opendata.arcgis.com/datasets/addresspoints,https://data-courtenay.opendata.arcgis.com/pages/city-of-courtenay-open-data-licence,Open Government Licence – City of Courtenay,2,Contains information licensed under the Open Government Licence – City of Courtenay,2021-01-15
BC,Kamloops,http://mydata-kamloops.opendata.arcgis.com/datasets/address-point,https://www.kamloops.ca/node/29807,Open Government Licence - Kamloops,1,Contains information licensed under the Open Government Licence - Kamloops.,2021-01-15
BC,City of Kelowna,https://opendata.kelowna.ca/datasets/address-points,http://apps.kelowna.ca/images/opendata/opengovernmentlicence.pdf,Open Government Licence City of Kelowna,2,Contains information licensed under the Open Government Licence – City of Kelowna,2021-01-15
BC,Township of Langley,https://data-tol.opendata.arcgis.com/datasets/parcels,https://www.tol.ca/connect/talk-to-us/freedom-of-information/open-data-license/,Open Government License – Township of Langley,,Contains information licensed under the Open Government License – Township of Langley.,2021-01-15
BC,Maple Ridge,https://opengov.mapleridge.ca/datasets/parcel,https://opengov.mapleridge.ca/pages/open-government-licence,Open Government Licence - Maple Ridge,2,Contains information licensed under the Open Government Licence – Maple Ridge,2021-01-15
BC,Nanaimo,https://www.nanaimo.ca/open-data-catalogue/DataBrowser/nanaimo/Addressing#param=NOFILTER--DataView--Results,https://www.nanaimo.ca/your-government/maps-data/open-data-catalogue/open-data-catalogue-licence,Open Government Licence - Nanaimo,2,Contains information licenced under the Open Government Licence – Nanaimo,2021-01-15
BC,City of New Westminster,http://opendata.newwestcity.ca/datasets/address-points,http://opendata.newwestcity.ca/licence,Open Government Licence - City of New Westminster,1,Contains information licenced - CITY OF NEW WESTMINSTER,2021-01-15
BC,Municipality of North Cowichan,https://catalogue.data.gov.bc.ca/dataset/17d1b2cf-2f7e-4928-b337-6768e286a852,https://www.northcowichan.ca/EN/footer/open-data-licence.html,Open Government License - Municipality of North Cowichan,2,Contains information licensed under the Open Government License – Municipality of North Cowichan,2021-01-15
BC,City of Penticton,http://open.penticton.ca/datasets/1ce333640d8a451888d93147dd1a251d_29,https://www.penticton.ca/sites/default/files/docs/our-community/maps-gis/2020-07-02-PDF-Open%20Data%20Government%20Licence.pdf,Open Government Licence - City of Penticton,2,Contains information licensed under the Open Government Licence – City of Penticton,2021-01-15
BC,Port Moody ,https://data.portmoody.ca/datasets/7bc8ca82182141d2b3f0452fe593d528_0/data,https://www.portmoody.ca/en/city-hall/open-data-terms-of-use.aspx,Port Moody Open Data Terms of Use,1,Contains information licensed under the Open Government Licence – Port Moody,2021-01-15
BC,City of Prince George,https://data-cityofpg.opendata.arcgis.com/datasets/civic-address-points,http://pgmap.princegeorge.ca/opendata/CityofPrinceGeorge_Open_Government_License_Open_Data.pdf,Open Government License - City of Prince George,2,Contains information licensed under the Open Government License – City of Prince George.,2021-01-15
BC,Regional District of Central Okanagan,https://www.rdcogis.com/arcgis/rest/services/DataDownload/RDCO_Data_Download/MapServer/10,https://creativecommons.org/publicdomain/zero/1.0/,Creative Commons,BY 4.0,"Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.",2021-01-15
BC,Saanich,https://www.saanich.ca/EN/main/local-government/data-catalogue-1.html,https://www.saanich.ca/assets/Local~Government/Documents/SaanichDataCatalogueLicence.pdf,Saanich Data Catalogue Licence,,Contains information licenced under the Open Government Licence – District of Saanich.,2021-01-15
BC,Squamish,https://data.squamish.ca/datasets/addressing/data,https://squamish.ca/discover-squamish/maps-and-data/open-data/,Open Government Licence - Squamish.,2,Contains information licensed under the Open Government Licence - Squamish.,2021-01-15
BC,Sunshine Coast Regional District,http://data-myscrd.opendata.arcgis.com/datasets/e62379e68ea54dfa8faf2765aae927d1_0,https://www.scrd.ca/scrd_disclaimer,Open Government Licence - Sunshine Coast Regional District,2,Contains information licensed under the Open Government Licence - SUNSHINE COAST,2021-01-15
BC,Surrey,https://data.surrey.ca/dataset/addresses/resource/141da8d6-7625-42ab-a209-cee8bcebd475,http://data.surrey.ca/pages/open-government-licence-surrey,Open Government Licence - Surrey,2,Contains information licensed under the Open Government License – City of Surrey,2021-01-15
BC,Vancouver,https://opendata.vancouver.ca/explore/dataset/property-addresses/table/,https://opendata.vancouver.ca/pages/licence/,Open Government Licence - Vancouver,1,Contains information licensed under the Open Government Licence - CITY OF VANCOUVER,2021-01-15
BC,Vernon,https://www.vernon.ca/government-services/maps-gis/open-data-deep,https://www.vernon.ca/government-services/maps-gis/open-data-catalogue,OPEN DATA CATALOGUE - TERMS,,,2021-01-15
BC,City of Victoria,https://opendata.victoria.ca/datasets/address-points,http://opendata.victoria.ca/pages/open-data-licence,Open Government Licence – City of Victoria,1,Contains information licensed under the Open Government Licence – City of Victoria,2021-01-15
BC,City of West Kelowna,https://www.westkelownacity.ca/en/building-business-and-development/open-data.aspx,https://gis.westkelownacity.ca/GISFiles/disclaimer.pdf,City of West Kelowna GIS DATA-SHARING SITE DISCLAIMER,,,2021-01-15
BC,White Rock,http://data.whiterockcity.ca/dataset/address,https://www2.gov.bc.ca/gov/content/data/open-data/open-government-licence-bc,Open Government Licence British Columbia,2,Contains information licensed under the Open Government Licence – British Columbia,2021-01-15
MB,City of Brandon,http://opengov.brandon.ca/OpenDataService/opendata.html,http://opendata.brandon.ca/terms.aspx,City of Brandon's Open Data Terms and Conditions,,Contains public sector Datasets made available under the City of Brandon's Open Data Licence,2021-01-15
MB,Winnipeg,https://data.winnipeg.ca/City-Planning/Addresses/cam2-ii3u,https://data.winnipeg.ca/stories/s/Open-Data-Licence/rwzh-4ijx/,Open Government Licence - Winnipeg,1,Contains information licensed under the Open Government Licence - CITY OF WINNIPEG,2021-01-15
NB,City of Fredericton,https://data-fredericton.opendata.arcgis.com/datasets/geocoded-civics,,,,,2021-01-15
NB,City of Moncton,http://open.moncton.ca/datasets/address,https://www.arcgis.com/sharing/rest/content/items/3ec310926cbd436cbaa609d8ee9fac15/data,City of Moncton Open Data Terms Of Use,,Contains information sourced from the open data portal of the City of Moncton.,2021-01-15
NB,Province of New Brunswick,https://gnb.socrata.com/dataset/Civic_Addresses/d5h8-svc8,http://geonb.snb.ca/documents/license/geonb-odl_en.pdf,GeoNB Open Data License,1,Contains information licenced under the GeoNB Open Data Licence,2021-04-19
NB,City of Saint John,http://catalogue-saintjohn.opendata.arcgis.com/datasets/civic-addresses,http://www.saintjohn.ca/en/home/cityhall/financeadmin/informationtechnology/opengovernmentlicence.aspx,Open Government Licence – City of Saint John,1,Contains information licenced under the Open Government Licence – City of Saint John,2021-01-15
